//--------- ABCD|DEFGH|EFGHI|A{4,}
egrep 0m49.353s
CTRE 0m10.093s
PCRE 0m12.515s
std::regex 21m9.309s
//--------- [0-9a-fA-F]{8,16}
egrep 0m32.256s
CTRE 0m14.197s
PCRE 0m17.832s
std::regex 2m34.505s
//--------- ^([0-9]{4,16})?[aA]
egrep 0m12.880s
CTRE 0m7.596s
PCRE 0m6.590s
std::regex 7m54.793s
//--------- ([aAbB]{4,}|[xXyY]{4,}|[1234]{4,})0
egrep 1m56.412s
CTRE 0m59.864s
PCRE 0m43.486s
std::regex 27m35.004s
